Data de referência,Índice,Valor do índice,Retorno de valor,Retorno de amortização,Retorno de resgate total antecipado,Retorno de juros,Retorno de prêmio,Retorno total,Retorno diário,Fator diário,Fator acumulado
2019-01-09,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.7365205806354171774009135,0.002197235461641765752260286662,0E-40,0E-40,0E-40,0E-40,0.002197235461641765752260286662,0.000239027305478362435108506,1.000239027305478362435108506,1.207365205806354171774009135
2019-01-10,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.7741168703160263072565744,0.002155371975372111489737463498,0.0002744340851971551446891971975,0E-40,0.00007950479798073775463027295641,0E-40,0.002509310858550004389056933650,0.000311391197127467084575436,1.000311391197127467084575436,1.207741168703160263072565744
2019-01-11,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.7557443307674898763179411,0.002002867097350091660856340918,0.0002744340851971551446891971975,0E-40,0.00007950479798073775463027295641,0E-40,0.002356805980527984560175811072,-0.0001521231537405019157074335,0.9998478768462594980842925665,1.207557443307674898763179411
2019-01-14,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.7966362409803930935205605,0.002342298440667187595116575772,0.0002744340851971551446891971975,0E-40,0.00007950479798073775463027295641,0E-40,0.002696237323845080494436045922,0.000338633250447236257047355,1.000338633250447236257047355,1.207966362409803930935205605
2019-01-15,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.8030747668576282072997974,0.0007841600403228216158503144451,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.002749681574214245087886616692,0.000053300539465277235260075,1.000053300539465277235260075,1.208030747668576282072997974
2019-01-16,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.8504555616826951219441654,0.001177453646592880809063237052,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.003142975180484304281099539299,0.000392215139527771809839092,1.000392215139527771809839092,1.208504555616826951219441654
2019-01-17,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.8754939904820183556802574,0.001385290049383914729578170204,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.003350811583275338201614472452,0.000207185224771813050243081,1.000207185224771813050243081,1.208754939904820183556802574
2019-01-18,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.8916170507146031173474743,0.001519122681917716570296334002,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.003484644215809140042332636250,0.000133385682244693238998775,1.000133385682244693238998775,1.208916170507146031173474743
2019-01-21,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.9023173769426782135741893,0.001607942844307210869635406633,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.003573464378198634341671708880,0.000088511730499776993992803,1.000088511730499776993992803,1.209023173769426782135741893
2019-01-22,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,120.9636420892163372300559160,0.002116980679840124043837653013,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.004082502213731547515873955259,0.000507225284048643662096154,1.000507225284048643662096154,1.20963642089216337230055916
2019-01-23,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.0134323268110938403671668,0.002530274339707664055247722538,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.004495795873599087527284024784,0.000411613247871901740365528,1.000411613247871901740365528,1.210134323268110938403671668
2019-01-24,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.0533468310855978064207701,0.002861592532797498686432093509,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.004827114066688922158468395755,0.000329835320815544873321886,1.000329835320815544873321886,1.210533468310855978064207701
2019-01-25,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.0533468310855978064207701,0.002861592532797498686432093509,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0E-40,0.004827114066688922158468395755,0,1,1.210533468310855978064207701
2019-01-28,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.0698247751381547226291133,0.002830788051815366589426989771,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0.0001675828964619368069597828068,0.004963892482168726868423074825,0.000136121342233930726075465,1.000136121342233930726075465,1.210698247751381547226291133
2019-01-29,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.1119581208390141173999347,0.003180524174564984974442182074,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0.0001675828964619368069597828068,0.005313628604918345253438267126,0.000348008645251723630678428,1.000348008645251723630678428,1.211119581208390141173999347
2019-01-30,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.1107181856641776652095529,0.003170231848776593434350817458,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0.0001675828964619368069597828068,0.005303336279129953713346902512,-0.0000102379252558967909333247,0.9999897620747441032090666753,1.211107181856641776652095529
2019-01-31,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.1791338075701266667389684,0.003738129174347926178896141363,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0.0001675828964619368069597828068,0.005871233604701286457892226419,0.000564901463147688018101142,1.000564901463147688018101142,1.211791338075701266667389684
2019-02-01,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.2164216888896080900044318,0.004047644566997063973080857986,0.0002744340851971551446891971975,0E-40,0.001691087448694268327347105048,0.0001675828964619368069597828068,0.006180748997350424252076943037,0.000307708762621572963875672,1.000307708762621572963875672,1.212164216888896080900044318
2019-02-04,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.2747270047977622050531061,0.0004810017908117991694024989877,0E-40,0E-40,0E-40,0E-40,0.0004810017908117991694024989877,0.000481001790811799169402499,1.000481001790811799169402499,1.212747270047977622050531061
2019-02-05,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.2706266414907315763585925,0.0004471749936674774469617605289,0E-40,0E-40,0E-40,0E-40,0.0004471749936674774469617605289,-0.0000338105342168151307511540,0.9999661894657831848692488460,1.212706266414907315763585925
2019-02-06,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.3054685048746719689965554,0.0007346101686915716459179633983,0E-40,0E-40,0E-40,0E-40,0.0007346101686915716459179633983,0.000287306698652943445119990,1.000287306698652943445119990,1.213054685048746719689965554
2019-02-07,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.3337777587226334689416210,0.0009681532270786536567013669951,0E-40,0E-40,0E-40,0E-40,0.0009681532270786536567013669951,0.000233371621221048990423215,1.000233371621221048990423215,1.21333777758722633468941621
