Data de rebalanceamento,Turnover
2017-01-02,0E-15
2017-02-01,0.1666666666666674682289760843
2017-03-01,0.3143862686341274335580670411
2017-04-03,0.1217507190906097416374560117
2017-05-02,0.1096600824005896356360947001
2017-06-01,0.02776974834628101065855702747
2017-07-03,0.05422506886377587572368101498
2017-08-01,0.01660823518716980215109450051
2017-09-01,0.06393074534614176199824709219
2017-10-02,0.07517599895560910934742191504
2017-11-01,0.02901455207116296893450212484
2017-12-01,0.07071730147369018499996240745
2018-01-02,0.08152326393836909095330381784
2018-02-01,0.09189167040139788631869563087
2018-03-01,0.09236088523089664460345661310
2018-04-02,0.01795058374219724240426660932
2018-05-02,0.08377872255040864248677054368
2018-06-01,0.03456138523869035656087779508
2018-07-02,0.05341994912048135731719541249
2018-08-01,0.08295758591229830421899670590
2018-09-03,0.03465359807161179542610713519
2018-10-01,0.07157116425856006880730683920
2018-11-01,0.1099714796920684201946000540
2018-12-03,0.07188130636220024621505374145
2019-01-02,0.02771055702624271051673791157
2019-02-01,0.01609991918706973812883491872
2019-03-01,0.08473467806440270454088452878
2019-04-01,0.1128034986339472092541501996
2019-05-02,0.05594135147669381595296964173
2019-06-03,0.08528136985960100069667056498
2019-07-01,0.02394869869095248845456368954
2019-08-01,0.05321483898068809347819178474
2019-09-02,0.03942420241035555093678464494
2019-10-01,0.08632731388993190084952784387
2019-11-01,0.03158446418528051426924466086
2019-12-02,0.06578097994411052124784966224
2020-01-02,0.05666835799311014103721815690
2020-02-03,0.07436472465258070660113943590
2020-03-02,0.04194415376008377246660777152
2020-04-01,0.05573041736172962397690567596
2020-05-04,0.05438720213793300685477103839
2020-06-01,0.1344307235453433629916226214
2020-07-01,0.07352031240556833625675840730
2020-08-03,0.02427552644512982929031141178
2020-09-01,0.07647511189329156964829543266
2020-10-01,0.04323012181483485263656957704
2020-11-03,0.02211416633992735146455414373
2020-12-01,0.02470683652674980311851646591
2021-01-04,0.04628302511358564064263701427
2021-02-01,0.07185117581936161648983046977
2021-03-01,0.05342480313503250594442586855
