Data de referência,Prazo de vencimento,Exposição
2017-01-02,2 - 3 anos,0.133333333333334
2017-01-02,3 - 5 anos,0.330954514582420
2017-01-02,5 - 7 anos,0.217941623071019
2017-01-02,7 - 10 anos,0.251103862346565
2017-01-02,Acima de 10 anos,0.066666666666667
2017-01-02,Caixa,0
2017-01-03,2 - 3 anos,0.1324977931192095552875921958
2017-01-03,3 - 5 anos,0.3310260510757786314818973673
2017-01-03,5 - 7 anos,0.2185691717237942407105900599
2017-01-03,7 - 10 anos,0.2512220390712571755550418921
2017-01-03,Acima de 10 anos,0.06668494500996539833575423269
2017-01-03,Caixa,0E-27
2017-01-04,2 - 3 anos,0.1325931706249588074233019718
2017-01-04,3 - 5 anos,0.3301725155214252301491304388
2017-01-04,5 - 7 anos,0.2198179880366325159199734525
2017-01-04,7 - 10 anos,0.2508291831679372228062918880
2017-01-04,Acima de 10 anos,0.06658714264905121773700092769
2017-01-04,Caixa,0E-28
2017-01-05,2 - 3 anos,0.1322072529112475529061936290
2017-01-05,3 - 5 anos,0.3303114027872409672214066983
2017-01-05,5 - 7 anos,0.2195542099654606437791357833
2017-01-05,7 - 10 anos,0.2515453558620262782986501705
2017-01-05,Acima de 10 anos,0.06638177847402953642799927121
2017-01-05,Caixa,0E-28
2017-01-06,2 - 3 anos,0.1321379990604567833674593344
2017-01-06,3 - 5 anos,0.3291658813173022149704619780
2017-01-06,5 - 7 anos,0.2195328777670120506879283488
2017-01-06,7 - 10 anos,0.2528162360103940501940315702
2017-01-06,Acima de 10 anos,0.06634700584483987680555713126
2017-01-06,Caixa,0E-28
2017-01-09,2 - 3 anos,0.1323418832424563389643354290
2017-01-09,3 - 5 anos,0.3301529037830109870712075478
2017-01-09,5 - 7 anos,0.2199180753602717268894716023
2017-01-09,7 - 10 anos,0.2511377607246775566966664675
2017-01-09,Acima de 10 anos,0.06644937688958837408158567309
2017-01-09,Caixa,0E-28
2017-01-10,2 - 3 anos,0.1329622310617609089252061023
2017-01-10,3 - 5 anos,0.3287622067951930048046716749
2017-01-10,5 - 7 anos,0.2190266063973560553995624404
2017-01-10,7 - 10 anos,0.2529390946203785845171907599
2017-01-10,Acima de 10 anos,0.06630986112531641959295342105
2017-01-10,Caixa,0E-28
2017-01-11,2 - 3 anos,0.1335820897544961001701907921
2017-01-11,3 - 5 anos,0.3296508074519502910795407348
2017-01-11,5 - 7 anos,0.2184804150850256370429411817
2017-01-11,7 - 10 anos,0.2516676956104254970451131803
2017-01-11,Acima de 10 anos,0.06661899209810747108662146914
2017-01-11,Caixa,0E-28
2017-01-12,2 - 3 anos,0.1326594321072002699464228008
2017-01-12,3 - 5 anos,0.3294130702276839198026838303
2017-01-12,5 - 7 anos,0.2189337775028463319856265294
2017-01-12,7 - 10 anos,0.2528348685113438744547338885
2017-01-12,Acima de 10 anos,0.06615885165093056572440677055
2017-01-12,Caixa,0E-28
2017-01-13,2 - 3 anos,0.1328049843393569743794105302
2017-01-13,3 - 5 anos,0.3302677004780436066204109884
2017-01-13,5 - 7 anos,0.2187659209560996488267019860
2017-01-13,7 - 10 anos,0.2519495568813831360812450059
2017-01-13,Acima de 10 anos,0.06621183734512159998003237328
2017-01-13,Caixa,0E-28
2017-01-16,2 - 3 anos,0.1959970019744221755465099396
2017-01-16,3 - 5 anos,0.2627467127965953977766238641
2017-01-16,5 - 7 anos,0.2180079283119157116840885700
2017-01-16,7 - 10 anos,0.2530381136797728695561046963
2017-01-16,Acima de 10 anos,0.06588209477814764816214568279
2017-01-16,Caixa,0.004328148459151138431635607958
2017-01-17,2 - 3 anos,0.1956835739277297040585850370
2017-01-17,3 - 5 anos,0.2630246557223974659275329191
2017-01-17,5 - 7 anos,0.2180707085957702350148681074
2017-01-17,7 - 10 anos,0.2530525146065649697467483601
2017-01-17,Acima de 10 anos,0.06584296906642046956707951700
2017-01-17,Caixa,0.004325578081122093907866041138
2017-01-18,2 - 3 anos,0.1966482786629927019603342307
2017-01-18,3 - 5 anos,0.2622421370071387057060763679
2017-01-18,5 - 7 anos,0.2181170979873986214513575276
2017-01-18,7 - 10 anos,0.2527001904100771041043773217
2017-01-18,Acima de 10 anos,0.06595908929043050482634042988
2017-01-18,Caixa,0.004333206641967308883210904560
2017-01-19,2 - 3 anos,0.1957367896801153053824181036
2017-01-19,3 - 5 anos,0.2632483820469407151199542464
2017-01-19,5 - 7 anos,0.2184033465570031621497586326
2017-01-19,7 - 10 anos,0.2523921137242475389620632806
2017-01-19,Acima de 10 anos,0.06589065703212160166500360490
2017-01-19,Caixa,0.004328710959576618520079541140
2017-01-20,2 - 3 anos,0.1961920126656096891972192536
2017-01-20,3 - 5 anos,0.2629786595655727010317232722
2017-01-20,5 - 7 anos,0.2182853220024465739175422483
2017-01-20,7 - 10 anos,0.2523040369733051526762461690
2017-01-20,Acima de 10 anos,0.06590998788593945058480257487
2017-01-20,Caixa,0.004329980907131375841557927300
2017-01-23,2 - 3 anos,0.1957591615503075137088457839
2017-01-23,3 - 5 anos,0.2640220482792757618750235372
2017-01-23,5 - 7 anos,0.2183860322341318066894876465
2017-01-23,7 - 10 anos,0.2515832975631697348402996894
2017-01-23,Acima de 10 anos,0.06591889435239746995221929121
2017-01-23,Caixa,0.004330566020722656851200481637
2017-01-24,2 - 3 anos,0.1961890190921398776456801964
2017-01-24,3 - 5 anos,0.2623646443612397870492625530
2017-01-24,5 - 7 anos,0.2184224987670880929830879228
2017-01-24,7 - 10 anos,0.2528066656966941907282815312
2017-01-24,Acima de 10 anos,0.06588859649125671288295798612
2017-01-24,Caixa,0.004328575591586280355466654166
2017-01-25,2 - 3 anos,0.1961514040375258923653377673
2017-01-25,3 - 5 anos,0.2623724996615665146522321064
2017-01-25,5 - 7 anos,0.2184628008033697664170033577
2017-01-25,7 - 10 anos,0.2528095860578943724714764453
2017-01-25,Acima de 10 anos,0.06587596375999108847072794680
2017-01-25,Caixa,0.004327745679657306320504375477
2017-01-26,2 - 3 anos,0.1966511201442903887099612712
2017-01-26,3 - 5 anos,0.2621221229820756388446959227
2017-01-26,5 - 7 anos,0.2186314287979501586943772366
2017-01-26,7 - 10 anos,0.2523922530346755705134114366
2017-01-26,Acima de 10 anos,0.06587536846920323533202426529
2017-01-26,Caixa,0.004327706571809948558165058079
2017-01-27,2 - 3 anos,0.1961005164731506449314803725
2017-01-27,3 - 5 anos,0.2639050975323274170955905351
2017-01-27,5 - 7 anos,0.2179622692818908195831882633
2017-01-27,7 - 10 anos,0.2520400085117194361374758561
2017-01-27,Acima de 10 anos,0.06567740679419076082373782547
2017-01-27,Caixa,0.004314701406725847234036711739
2017-01-30,2 - 3 anos,0.1963641759763524281095424304
2017-01-30,3 - 5 anos,0.2633029012512276018548180824
2017-01-30,5 - 7 anos,0.2183594268722202087636803181
2017-01-30,7 - 10 anos,0.2518872824679088210609693579
2017-01-30,Acima de 10 anos,0.06576571085762910807719360238
2017-01-30,Caixa,0.004320502574666764562110530555
2017-01-31,2 - 3 anos,0.1961178746704019934107997733
2017-01-31,3 - 5 anos,0.2631572648208248126252262662
2017-01-31,5 - 7 anos,0.2147945756370379003302388634
2017-01-31,7 - 10 anos,0.2520354249152368347135269494
2017-01-31,Acima de 10 anos,0.06592350448088231003592076889
2017-01-31,Caixa,0.007971355475621093147123444885
2017-02-01,2 - 3 anos,0.1963271980565285142722172473
2017-02-01,3 - 5 anos,0.2631696761426125770398321866
2017-02-01,5 - 7 anos,0.2145658626157616548095928514
2017-02-01,7 - 10 anos,0.2521590517203341706995293808
2017-02-01,Acima de 10 anos,0.06581943936225116033444796006
2017-02-01,Caixa,0.007958772102516859302332542400
2017-02-02,1 - 2 anos,0.05555353425496548601890015802
2017-02-02,2 - 3 anos,0.1666550287897988893906396132
2017-02-02,3 - 5 anos,0.2199412606216297730380562425
2017-02-02,5 - 7 anos,0.1825089139954188595669396368
2017-02-02,7 - 10 anos,0.2654627010872370768070772850
2017-02-02,Acima de 10 anos,0.1098785612509559122795056088
2017-02-02,Caixa,0E-28
2017-02-03,1 - 2 anos,0.05473670624019637124321991998
2017-02-03,2 - 3 anos,0.1667340174852587501720786756
2017-02-03,3 - 5 anos,0.2199649687710557004342714994
2017-02-03,5 - 7 anos,0.1827835778197822954491793722
2017-02-03,7 - 10 anos,0.2659031591871207102230607144
2017-02-03,Acima de 10 anos,0.1098775704965921672802503028
2017-02-03,Caixa,0E-28
2017-02-06,1 - 2 anos,0.05491026995739291912272101452
2017-02-06,2 - 3 anos,0.1654524321323353233785696358
2017-02-06,3 - 5 anos,0.2193421967324446245348982688
2017-02-06,5 - 7 anos,0.1828017903087682105235610143
2017-02-06,7 - 10 anos,0.2666488829916654135723830787
2017-02-06,Acima de 10 anos,0.1108444278773995015494726292
2017-02-06,Caixa,0E-28
2017-02-07,1 - 2 anos,0.05519230814301944568148975721
2017-02-07,2 - 3 anos,0.1660578120207952816340377498
2017-02-07,3 - 5 anos,0.2187099539817584924283310088
2017-02-07,5 - 7 anos,0.1834334918680696141322155007
2017-02-07,7 - 10 anos,0.2654518450490081778536221678
2017-02-07,Acima de 10 anos,0.1111545889373549432482950396
2017-02-07,Caixa,0E-28
2017-02-08,1 - 2 anos,0.05474776331733079152333621424
2017-02-08,2 - 3 anos,0.1656644361666483406421075864
2017-02-08,3 - 5 anos,0.2191989035918557598876828667
2017-02-08,5 - 7 anos,0.1841598361867291659986367812
2017-02-08,7 - 10 anos,0.2658882286526880145256138223
2017-02-08,Acima de 10 anos,0.1103408320847538760504226931
2017-02-08,Caixa,0E-28
2017-02-09,1 - 2 anos,0.05461005584793591579151913728
2017-02-09,2 - 3 anos,0.1652261977537420251395629990
2017-02-09,3 - 5 anos,0.2193622546036024341992842219
2017-02-09,5 - 7 anos,0.1846099491157745500775020851
2017-02-09,7 - 10 anos,0.2665873126599571190213150924
2017-02-09,Acima de 10 anos,0.1096042300189939001180818579
2017-02-09,Caixa,0E-28
2017-02-10,1 - 2 anos,0.05462288501330353575613788696
2017-02-10,2 - 3 anos,0.1647858472553518938802369083
2017-02-10,3 - 5 anos,0.2193488778076136324056107198
2017-02-10,5 - 7 anos,0.1845550390439434823819071850
2017-02-10,7 - 10 anos,0.2660842345641838300965761262
2017-02-10,Acima de 10 anos,0.1106031163156095539842950974
2017-02-10,Caixa,0E-28
2017-02-13,1 - 2 anos,0.05466018172661980800005614989
2017-02-13,2 - 3 anos,0.1650385209215014897785170042
2017-02-13,3 - 5 anos,0.2189553957171831715198367878
2017-02-13,5 - 7 anos,0.1846684646002159380689163682
2017-02-13,7 - 10 anos,0.2658556420387907956324592841
2017-02-13,Acima de 10 anos,0.1108217949956947242173503621
