Data de referência,Número de ativos
2018-03-29,75
2018-04-02,75
2018-04-03,77
2018-04-04,77
2018-04-05,77
2018-04-06,77
2018-04-09,77
2018-04-10,77
2018-04-11,77
2018-04-12,77
2018-04-13,77
2018-04-16,77
2018-04-17,77
2018-04-18,77
2018-04-19,77
2018-04-20,77
2018-04-23,77
2018-04-24,77
2018-04-25,77
2018-04-26,77
2018-04-27,77
2018-04-30,77
2018-05-02,77
2018-05-03,77
2018-05-04,77
2018-05-07,77
2018-05-08,77
2018-05-09,77
2018-05-10,77
2018-05-11,77
2018-05-14,77
2018-05-15,77
2018-05-16,77
2018-05-17,77
2018-05-18,77
2018-05-21,77
2018-05-22,77
2018-05-23,77
2018-05-24,77
2018-05-25,77
2018-05-28,77
2018-05-29,77
2018-05-30,77
2018-06-01,77
2018-06-04,77
2018-06-05,77
2018-06-06,77
2018-06-07,77
2018-06-08,77
2018-06-11,77
2018-06-12,77
2018-06-13,77
2018-06-14,77
2018-06-15,77
2018-06-18,77
2018-06-19,77
2018-06-20,77
2018-06-21,77
2018-06-22,77
2018-06-25,77
2018-06-26,77
2018-06-27,77
2018-06-28,77
2018-06-29,77
2018-07-02,77
2018-07-03,80
2018-07-04,80
2018-07-05,80
2018-07-06,80
2018-07-09,80
2018-07-10,80
2018-07-11,80
2018-07-12,80
2018-07-13,80
2018-07-16,80
2018-07-17,80
2018-07-18,80
2018-07-19,80
2018-07-20,80
2018-07-23,80
2018-07-24,80
2018-07-25,80
2018-07-26,80
2018-07-27,80
2018-07-30,80
2018-07-31,80
2018-08-01,80
2018-08-02,79
2018-08-03,79
2018-08-06,79
2018-08-07,79
2018-08-08,79
2018-08-09,79
2018-08-10,79
2018-08-13,79
2018-08-14,79
2018-08-15,79
2018-08-16,79
2018-08-17,79
2018-08-20,79
2018-08-21,79
2018-08-22,79
2018-08-23,79
2018-08-24,79
2018-08-27,79
2018-08-28,79
2018-08-29,79
2018-08-30,79
2018-08-31,79
2018-09-03,79
2018-09-04,77
2018-09-05,77
2018-09-06,77
2018-09-10,77
2018-09-11,77
2018-09-12,77
2018-09-13,77
2018-09-14,77
2018-09-17,77
2018-09-18,77
2018-09-19,77
2018-09-20,77
2018-09-21,77
2018-09-24,77
2018-09-25,77
2018-09-26,77
2018-09-27,77
2018-09-28,77
2018-10-01,77
2018-10-02,84
2018-10-03,84
2018-10-04,84
2018-10-05,84
2018-10-08,84
2018-10-09,84
2018-10-10,84
2018-10-11,84
2018-10-15,84
2018-10-16,84
2018-10-17,84
2018-10-18,84
2018-10-19,84
2018-10-22,84
2018-10-23,84
2018-10-24,84
2018-10-25,84
2018-10-26,84
2018-10-29,84
2018-10-30,84
2018-10-31,84
2018-11-01,84
2018-11-05,83
2018-11-06,83
2018-11-07,83
2018-11-08,83
2018-11-09,83
2018-11-12,83
2018-11-13,83
2018-11-14,83
2018-11-16,83
2018-11-19,83
2018-11-20,83
2018-11-21,83
2018-11-22,83
2018-11-23,83
2018-11-26,83
2018-11-27,83
2018-11-28,83
2018-11-29,83
2018-11-30,83
2018-12-03,83
2018-12-04,85
2018-12-05,85
2018-12-06,85
2018-12-07,85
2018-12-10,85
2018-12-11,85
2018-12-12,85
2018-12-13,85
2018-12-14,85
2018-12-17,85
2018-12-18,85
2018-12-19,85
2018-12-20,85
2018-12-21,85
2018-12-24,85
2018-12-26,85
2018-12-27,85
2018-12-28,85
2018-12-31,85
2019-01-02,85
2019-01-03,88
2019-01-04,88
2019-01-07,88
2019-01-08,88
2019-01-09,88
2019-01-10,88
2019-01-11,88
2019-01-14,88
2019-01-15,88
2019-01-16,88
2019-01-17,88
2019-01-18,88
2019-01-21,88
2019-01-22,88
2019-01-23,88
2019-01-24,88
2019-01-25,88
2019-01-28,88
2019-01-29,88
2019-01-30,88
2019-01-31,88
2019-02-01,88
2019-02-04,87
2019-02-05,87
2019-02-06,87
2019-02-07,87
2019-02-08,87
2019-02-11,87
2019-02-12,87
2019-02-13,87
2019-02-14,87
2019-02-15,87
2019-02-18,87
2019-02-19,87
2019-02-20,87
2019-02-21,87
2019-02-22,87
2019-02-25,87
2019-02-26,87
2019-02-27,87
2019-02-28,87
2019-03-01,87
2019-03-06,89
2019-03-07,89
2019-03-08,89
2019-03-11,89
2019-03-12,89
2019-03-13,89
2019-03-14,89
2019-03-15,89
2019-03-18,89
2019-03-19,89
2019-03-20,89
2019-03-21,89
2019-03-22,89
2019-03-25,89
2019-03-26,89
2019-03-27,89
2019-03-28,89
2019-03-29,89
2019-04-01,89
2019-04-02,98
