Período do índice Sharpe,Índice Sharpe,Índice Sharpe anualizado
YTD,-0.01681003580526668734437968307,-0.03712922211368943316817518051
LTM,2.619926142984174959944191753,2.631742591469325337318456096
Últimos 3 anos,2.779715242739967843543162970,1.399590907849084531811612577
Desde o início,3.720979168954017415876001459,1.403228912259451161426254958
