Período do desvio padrão,Desvio padrão,Desvio padrão anualizado
YTD,0.001948522190029912414598290207,0.03093183083346052859398881264
LTM,0.002327764620856448946671509179,0.03695211778488431660922361346
Últimos 3 anos,0.002346912480186910031937731659,0.03725608062845020322993513705
Desde o início,0.002219578042225608522401616131,0.03523470909137148577397172616
