Data de referência,Prazo médio de repactuação
2017-01-02,1463.201907691987185935107464
2017-01-03,1463.091643778300043239788337
2017-01-04,1461.844020762455549616889630
2017-01-05,1460.187143800353933028705158
2017-01-06,1457.359224094439858049633225
2017-01-09,1455.761087731678419692260074
2017-01-10,1453.046941867318278259093136
2017-01-11,1453.589574333328928811488608
2017-01-12,1453.299308521450783692218957
2017-01-13,1453.253519449519678855484086
2017-01-16,1446.547508418158400398458481
2017-01-17,1445.453767961182681593175704
2017-01-18,1444.643980780666246069462565
2017-01-19,1443.465996602643852264337295
2017-01-20,1442.382381115368148118018635
2017-01-23,1440.195407463557792859956867
2017-01-24,1439.668592524645645667953884
2017-01-25,1438.754691710358166007108339
2017-01-26,1437.024601863495861045255621
2017-01-27,1435.868283267682642184466635
2017-01-30,1432.549435347786952235459090
2017-01-31,1430.140700187839649725828185
2017-02-01,1429.314574434681194611603203
2017-02-02,1484.969986812063709465438063
2017-02-03,1484.149056319007326477392487
2017-02-06,1482.897342194917774452058900
2017-02-07,1480.995590428092908674522373
2017-02-08,1481.138084012860566626523359
2017-02-09,1479.788583449871697246913198
2017-02-10,1479.877834710653142016528787
2017-02-13,1476.838140315011472053071672
2017-02-14,1475.291740777839164340585268
2017-02-15,1473.662424053670693689334482
2017-02-16,1472.180361769759171370106356
2017-02-17,1467.341633627451102297829106
2017-02-20,1465.590772872336982664233013
2017-02-21,1463.861418412468268169998237
2017-02-22,1462.115081833376440542891647
2017-02-23,1464.133669034361331952410721
2017-02-24,1462.588655639925290071768746
2017-03-01,1456.858757498383274283023625
2017-03-02,1501.277328736603158135804877
2017-03-03,1499.841338278230156430045674
2017-03-06,1496.943981164059215576226077
2017-03-07,1495.883088774838282514128174
2017-03-08,1494.192727662913289477870603
2017-03-09,1492.816658815019151319605199
2017-03-10,1493.285333091355805030339766
2017-03-13,1490.558367791990214095653617
2017-03-14,1489.308850918919395055226817
2017-03-15,1489.621091157485438755778046
2017-03-16,1486.548590859302091722829444
2017-03-17,1487.774150326282278543905479
2017-03-20,1483.377707428993985131167783
2017-03-21,1482.385222202520758503997046
2017-03-22,1481.393661655534293583786405
2017-03-23,1481.147767723490283336445218
2017-03-24,1479.111569729519370229755757
2017-03-27,1477.771255397087152802616144
2017-03-28,1475.754458998552608304277265
2017-03-29,1475.463472856320780566684065
2017-03-30,1473.775825325317376627853588
2017-03-31,1472.141034261027362890094049
2017-04-03,1468.873379426983276979695074
2017-04-04,1315.566684817834660660542529
2017-04-05,1314.426309015221350848951008
2017-04-06,1312.300722857875515555780780
2017-04-07,1311.178849500006997546739440
2017-04-10,1308.910776991173505032697444
2017-04-11,1307.283521243294602255935548
2017-04-12,1308.753212244552973353910732
2017-04-13,1306.525520366195011243921446
2017-04-17,1300.430449139851484700791178
2017-04-18,1300.143234098255909924083213
2017-04-19,1298.828819729732841609148421
2017-04-20,1298.413609513755553486586054
2017-04-24,1293.441379121770294888290013
2017-04-25,1293.367815550872862700445058
2017-04-26,1291.523631819878149552320356
2017-04-27,1289.791107560038127741967746
2017-04-28,1289.649345183380977589024284
2017-05-02,1286.828795647578063349335006
2017-05-03,1244.653393946869845344728339
2017-05-04,1241.580588194573210449178514
2017-05-05,1240.293847061211249015842107
